months,adoption_rate,enrolled_hh,cost
1.0,2.068229209716783,399655.32613651955,13221597.326911408
2.0,2.2975142290636086,443961.33378536324,14687350.82495428
3.0,2.5511536562961092,492973.47786274337,16308795.081394209
4.0,2.831488076549666,547144.0425309937,18100892.787031602
5.0,3.1410264808902513,606957.853958333,20079683.203576554
6.0,3.4824451115214803,672932.0571718601,22262274.781388063
7.0,3.8585825359511503,745615.1642116138,24666813.670030717
8.0,4.272430060975265,825585.2017718864,27312422.437618434
9.0,4.727116506641902,913446.7689903664,30219102.7351238
10.0,5.2258862903258505,1009826.8025131238,33407595.194140423
11.0,5.772069735061524,1115368.8390101786,36899189.61655424
12.0,6.36904453079148,1230725.5681202025,40715478.6073366
13.0,7.020187361423285,1356549.485080183,44878048.34016516
14.0,7.728814885766017,1493481.4861465879,49408101.265444495
15.0,8.498113548225794,1642137.3055293208,54326007.41017376
16.0,9.331058115337095,1803091.7737568023,59650783.60530942
17.0,10.23031940124079,1976860.9869616586,65399503.60115907
18.0,11.198162363893966,2163882.615449856,71586646.62561987
19.0,12.236336614234686,2364494.746183313,78223397.44060946
20.0,13.345962352997313,2578913.8417222355,85316917.16877587
21.0,14.527415780390431,2807212.5973057933,92869610.75036892
22.0,15.780219031773406,3049298.6725164405,100878423.33352515
23.0,17.10294057162158,3304895.4438569876,109334203.5213988
24.0,18.493112602747892,3573526.0452794167,118221175.39295632
25.0,19.947172284586436,3854502.0094699254,127516562.72828881
26.0,21.460433280026404,4146917.769686875,137190407.11566606
27.0,23.027093273635955,4449652.112548614,147205616.01338953
28.0,24.640281589422035,4761377.379475577,157518267.1565008
29.0,26.292148923227334,5080576.806175784,168078182.1903104
30.0,27.97399861975218,5405569.8900271095,178829765.88682187
31.0,29.676456077492976,5734545.125126954,189713089.1020125
32.0,31.389670032639355,6065598.897488782,200665175.52617267
33.0,33.10353696256592,6396778.847765275,211621436.23119473
34.0,34.80793795487231,6726129.642758108,222517183.90654513
35.0,36.49297634201488,7051738.894867179,233289151.98944348
36.0,38.14920433679739,7371780.956115255,243876943.48068294
37.0,39.7678278286279,7684556.492057105,254224340.1484792
38.0,41.34088029721822,7988526.088081914,264280414.30896994
39.0,42.86135924724272,8282336.613434163,274000401.01393574
40.0,44.32332137573523,8564839.6109341,283346306.4287274
41.0,45.72193554536772,8835101.53329626,292287246.47527355
42.0,47.05349526895346,9092406.155578809,300799526.64193594
43.0,48.315394593234736,9336249.915074956,308866487.81546724
44.0,49.50607286567229,9566331.238295345,316478153.19090575
45.0,50.62493482610307,9782535.09983879,323630717.4404168
46.0,51.672252812769486,9984914.125124445,330325921.5444295
47.0,52.649057694679584,10173667.514650833,336570355.5534362
48.0,53.55702456001324,10349118.954936685,342374727.82669294
49.0,54.398358336522875,10511694.51632075,347753133.8361812
50.0,55.17568352207394,10661901.344986554,352722351.24551773
51.0,55.891941170772824,10800307.757024284,357301181.3717559
52.0,56.55029529661495,10927525.15229199,361509850.85069984
53.0,57.154049979594184,11044191.99637237,365369481.71998894
54.0,57.7065777213816,11150959.976345811,368901633.4174603
55.0,58.2112590111504,11248482.322761744,372127916.4427654
56.0,58.6714326236898,11337404.205469336,375069674.6274394
57.0,59.09035586814368,11418355.052262237,377747731.0164655
58.0,59.47117381724519,11491942.60287402,380182191.1595798
59.0,59.81689645220016,11558748.49255809,382392297.00505304
60.0,60.13038263602365,11619325.155167174,384396324.44581807
61.0,60.414329858606,11674193.841535958,386211517.76261336
62.0,60.671268763251376,11723843.561813949,387854054.63370997
63.0,60.903561553112745,11768730.777532132,389339035.9477068
64.0,61.11340347607094,11809279.68853434,390680495.29593736
65.0,61.302826690134786,11845882.979909807,391891423.6828662
66.0,61.47370591268274,11878902.913627265,392983805.640074
67.0,61.627765352049195,11908672.667963555,393968663.5379043
68.0,61.766586506811535,11935497.844602846,394856107.4440737
69.0,61.891616495517496,11959658.078235736,395655388.3732338
70.0,62.00417664718492,11981408.696548868,396374953.20357794
71.0,62.10547114094463,12000982.389710719,397022499.9076049
72.0,62.19659553227777,12018590.857943416,397605032.05791306
