State FIPS,State Name,Census Block Group,,
01,Alabama,010159819031,,
01,Alabama,010259578004,,
01,Alabama,010479570001,,
01,Alabama,010599731001,,
01,Alabama,010857811001,,
01,Alabama,010857811002,,
01,Alabama,011056868001,,
01,Alabama,011310352001,,
02,Alaska,020130001001,,
02,Alaska,020130001002,,
02,Alaska,020130001003,,
02,Alaska,020160001001,,
02,Alaska,020160002001,,
02,Alaska,020160002002,,
02,Alaska,020209800001,,
02,Alaska,020500001001,,
02,Alaska,020500001002,,
02,Alaska,020500001003,,
02,Alaska,020500001004,,
02,Alaska,020500001005,,
02,Alaska,020500002001,,
02,Alaska,020500002002,,
02,Alaska,020500002003,,
02,Alaska,020500002004,,
02,Alaska,020500003001,,
02,Alaska,020600001001,,
02,Alaska,020700001001,,
02,Alaska,020700002001,,
02,Alaska,020900019021,,
02,Alaska,021050004003,,
02,Alaska,021220001001,,
02,Alaska,021220002002,,
02,Alaska,021220004001,,
02,Alaska,021220008001,,
02,Alaska,021220008002,,
02,Alaska,021220012001,,
02,Alaska,021500001001,,
02,Alaska,021500001002,,
02,Alaska,021500001003,,
02,Alaska,021580001001,,
02,Alaska,021580001002,,
02,Alaska,021580001003,,
02,Alaska,021580001004,,
02,Alaska,021640001001,,
02,Alaska,021700001011,,
02,Alaska,021800001001,,
02,Alaska,021880001001,,
02,Alaska,021880001002,,
02,Alaska,021880001003,,
02,Alaska,021880001004,,
02,Alaska,021880001005,,
02,Alaska,021980001001,,
02,Alaska,021980001002,,
02,Alaska,021980002001,,
02,Alaska,021980003001,,
02,Alaska,021989401003,,
02,Alaska,022200001001,,
02,Alaska,022400001001,,
02,Alaska,022400004001,,
02,Alaska,022400004002,,
02,Alaska,022400004003,,
02,Alaska,022820001001,,
02,Alaska,022900001001,,
02,Alaska,022900001002,,
02,Alaska,022900002001,,
02,Alaska,022900003001,,
02,Alaska,022900003002,,
02,Alaska,022900003003,,
02,Alaska,022900004001,,
04,Arizona,040019427001,,
04,Arizona,040019441003,,
04,Arizona,040019443021,,
04,Arizona,040019449021,,
04,Arizona,040019450021,,
04,Arizona,040019702011,,
04,Arizona,040019702021,,
