months,adoption_rate,enrolled_hh,cost
0.0,2.4926997478891444,481678.1070602302,15935115.976820068
1.0,2.8128072347172997,543534.240532287,17981471.51240939
2.0,3.171867372001682,612917.4092811047,20276840.192542147
3.0,3.5740404517984277,690631.5294638996,22847817.573489457
4.0,4.023777011792422,777536.6029999846,25722854.668746993
5.0,4.525795832719818,874544.4658914887,28932117.292855177
6.0,5.085047690813595,982611.7839086874,32507254.341159154
7.0,5.706661897152121,1102729.7220937577,36481056.03116674
8.0,6.395872605965508,1235909.704908774,40886982.81264452
9.0,7.157922048623939,1383164.7176060914,45758546.77020352
10.0,7.997938337424235,1545485.693580724,51128530.45788431
11.0,8.920786376491051,1723812.7050623002,57028033.81522355
12.0,9.930891801465789,1919000.9420110604,63485348.66408091
13.0,11.032039803776154,2131781.837822985,70524672.6497789
14.0,12.22715318584685,2362720.181715241,78164690.41159448
15.0,13.518056966231368,2612168.632078771,86417068.77074595
16.0,14.905240124639757,2880221.677157227,95284933.63455397
17.0,16.387628334056366,3166671.7188218324,104761417.13792329
18.0,17.962384330301774,3470970.4968818715,114828381.46309452
19.0,19.62475438088023,3792199.4214141257,125455437.35893282
20.0,21.367979568599157,4129052.4296078384,136599377.00250134
21.0,23.183288812470632,4479834.637155057,148204129.3836822
22.0,25.059986426947315,4842479.257804243,160201320.04630888
23.0,26.985640620913028,5214584.028058846,172511476.1082568
24.0,28.94637112523443,5593466.787033948,185045864.9820506
25.0,30.92722499411259,5976238.094622093,197708896.7653354
26.0,32.912620747526134,6359887.055584794,210400963.51638398
27.0,34.88683371941582,6741375.106056512,223021541.9461146
28.0,36.834490910581295,7117731.636696542,235472356.87101337
29.0,38.74104257559403,7486145.120026627,247660395.9332809
30.0,40.59318038054225,7844043.913356075,259500582.76360238
31.0,42.37917781366108,8189162.038203483,270917953.1288668
32.0,44.089136656875276,8519586.80735099,281849230.55418915
33.0,45.71513247552125,8833786.938624911,292243756.39705867
34.0,47.25126096450679,9130621.510619562,302063786.1250717
35.0,48.6935945190967,9409331.570630856,311284211.6853953
36.0,50.04006386558096,9669517.261498109,319891804.8035112
37.0,51.290282707380655,9911103.937004881,327884095.995964
38.0,52.44533421945249,10134300.905016353,335268009.69020355
39.0,53.5075372439293,10339556.248174673,342058369.58023864
40.0,54.48020773924091,10527510.727398165,348276373.6391498
41.0,55.36742797851204,10698953.182816043,353948118.6705118
42.0,56.17383268334752,10854779.207221327,359103233.1228996
43.0,56.90441810400739,10995954.253581101,363773656.59409684
44.0,57.564377272872264,11123481.800155882,367992586.653657
45.0,58.158962399343565,11238376.760307977,371793599.1728887
46.0,58.69337367734669,11341643.996162664,375209937.5030514
47.0,59.17267260933931,11434261.569728712,378273958.38055015
48.0,59.60171724050783,11517168.227845324,381016717.897693
49.0,59.98511635310074,11591254.550900763,383467678.6801745
50.0,60.32719960138015,11657357.181844492,385654518.96837044
51.0,60.63200068870446,11716255.575402157,387603025.0732419
52.0,60.90325092961076,11768670.75404131,389337050.2205717
53.0,61.14438084643469,11815265.616495041,390878524.7576972
54.0,61.358527781440856,11856646.408695891,392247504.8156819
55.0,61.548547833651114,11893365.030394968,393462248.6180416
56.0,61.71703073670855,11925921.910093553,394539311.59067
57.0,61.86631657011729,11954769.234248066,395493653.1920117
58.0,61.99851343655923,11980314.363155376,396338749.91908777
59.0,62.11551544203794,12002923.305355076,397086710.2494093
60.0,62.21902048508652,12022924.15513614,397748388.3622914
61.0,62.3105474993448,12040610.424415117,398333494.3657132
62.0,62.39145290426375,12056244.221596388,398850699.46096253
63.0,62.46294610550096,12070059.246798992,399307735.0322277
64.0,62.52610395356121,12082263.585779415,399711485.07654756
65.0,62.581884119919415,12093042.29467353,400068071.7135371
66.0,62.63113738734417,12102559.774923518,400382933.7539073
67.0,62.67461887809136,12110961.942963611,400660898.4780937
68.0,62.71299826231013,12118378.20284661,400906246.89567304
69.0,62.74686900126154,12124923.232361965,401122772.83461475
70.0,62.77675668731563,12130698.594619349,401313836.25649464
71.0,62.80312654638574,12135794.187785389,401482411.21741015
72.0,62.82639016945302,12140289.54585324,401631128.90068984
