months,adoption_rate,enrolled_hh,cost
0.0,1.7409331572559104,336410.10651825607,11129287.348890208
1.0,1.9645002909136695,379611.2156098513,12558488.040412907
2.0,2.2152724502868892,428069.30172013666,14161602.674156422
3.0,2.4961552361766794,482345.8301017711,15957205.924341844
4.0,2.81025696061693,543041.4370158623,17965168.340077266
5.0,3.1608732799947936,610792.9603051667,20206558.109295677
6.0,3.551461879298384,686268.5474917818,22703479.222396873
7.0,3.985605134518942,770160.4408273862,25478832.78367201
8.0,4.466958645436228,863175.0319997787,28555987.996132683
9.0,4.999183653007195,966019.8027725085,31958350.125221513
10.0,5.5858616959788305,1079386.8336119342,35708814.922966816
11.0,6.230390485168353,1203932.6829006542,39829102.982060894
12.0,6.935860940706266,1340254.6261664552,44338973.670151755
13.0,7.7049166883516005,1488863.5057811325,49255326.93000432
14.0,8.539599050432722,1650153.777705883,54591212.350954875
15.0,9.441182643082225,1824371.7430391419,60354778.18909242
16.0,10.410008975938878,2011583.3935701267,66548207.617783725
17.0,11.445327725372701,2211643.740129534,73166704.03283532
18.0,12.545157310052033,2424169.8708381327,80197599.75200254
19.0,13.706177662836987,2648520.2308289134,87619670.53639753
20.0,14.923668270132744,2883782.6492499188,95402739.49381045
21.0,16.191503297598537,3128773.397378135,103507645.91876216
22.0,17.502212742629872,3382049.005450582,111886636.2228189
23.0,18.847114084447195,3641931.702136337,120484205.53592537
24.0,20.216513166830396,3906548.232214187,129238381.89222585
25.0,21.599966662554824,4173880.574021779,138082404.09007552
26.0,22.98659226811349,4441825.880090967,146946704.67810944
27.0,24.365407677052318,4708261.978833119,155761076.91474667
28.0,25.725676191517092,4971114.158962663,164456884.16388232
29.0,27.057236084541863,5228418.81398685,172969165.41371998
30.0,28.35079264672792,5478379.8759947205,181238502.24759537
31.0,29.598155933350597,5719414.756840528,189212538.69317678
32.0,30.792412903214476,5950187.61148323,196847081.656894
33.0,31.928029030522776,6169628.973007874,204106750.499533
34.0,33.00088067362379,6376942.007416836,210965183.9603675
35.0,34.00822474349611,6571596.652504089,217404846.25646657
36.0,34.948616033104166,6753313.642951061,223416498.5929285
37.0,35.821784748011886,6922040.844892299,228998416.2511495
38.0,36.62848739136364,7077924.441598723,234155435.33918977
39.0,37.370343471950626,7221277.379677551,238897908.9131826
40.0,38.04966889724762,7352547.174690781,243240641.9067078
41.0,38.669314778643326,7472284.76260168,247201860.6587701
42.0,39.232518064560175,7581115.636789498,250802258.0540886
43.0,39.74276819962421,7679714.081866166,254064141.11333746
44.0,40.20369206359332,7768780.939791408,257010695.4406493
45.0,40.618957866208206,7849025.038945254,259665370.8509064
46.0,40.99219748894055,7921148.187796146,262051384.922766
47.0,41.326945949379834,7985833.477270846,264191336.0118128
48.0,41.62659616797372,8043736.540082448,266106914.08727762
49.0,41.89436697676877,8095479.3688830715,267818696.22107422
50.0,42.13328226128138,8141646.28573266,269346013.24775076
51.0,42.34615921115867,8182781.671709444,270706874.6543277
52.0,42.53560382385513,8219389.098060597,271917939.8365897
53.0,42.70401201973217,8251931.541679076,272994525.2275981
54.0,42.85357495846663,8280832.412422528,273950638.28396827
55.0,42.986287375883315,8306477.164085374,274799030.7808544
56.0,43.103957974844064,8329215.30228756,275551265.2379282
57.0,43.20822109658985,8349362.6397923,276217789.5309288
58.0,43.30054906680327,8367203.682203755,276808015.81650573
59.0,43.38226475316935,8382994.054533704,277330400.8091113
60.0,43.454553989584234,8396962.901999844,277792525.2054099
61.0,43.51847761859002,8409315.217051828,278201170.6681171
62.0,43.574982980755635,8420234.059527636,278562393.27432305
63.0,43.62491474034988,8429882.648558026,278881592.7209209
64.0,43.66902498343958,8438406.313877689,279163576.8788587
65.0,43.707982559943716,8445934.301041828,279412621.5142163
66.0,43.74238166735148,8452581.430105314,279632525.1614591
67.0,43.77274969263524,8458449.610958714,279826659.2545417
68.0,43.799554341930886,8463629.221035728,279998013.7049145
69.0,43.82321009611917,8468200.352760736,280149238.1702071
70.0,43.844084035585524,8472233.939099226,280282679.2902502
71.0,43.862501080015434,8475792.766072333,280400414.18358797
72.0,43.878748689776714,8478932.381230835,280504280.5020691
