months,adoption_rate,enrolled_hh,cost
1.0,1.2681710780289317,245055.6850301704,8107054.700010613
2.0,1.431027021030412,276525.2362325924,9148146.127664737
3.0,1.6137002733048234,311824.19529919693,10315923.940985683
4.0,1.818307398607089,351361.55750661413,11623918.726212563
5.0,2.0471126241141215,395574.8519481305,13086605.039574029
6.0,2.3025166465159175,444927.978472993,14719329.847832793
7.0,2.587038190923299,499907.6442125411,16538194.639661392
8.0,2.9032868125516855,561018.1078996994,18559881.554591805
9.0,3.25392540579188,628773.9352901508,20801413.714236416
10.0,3.6416209741429477,703690.4861652093,23279840.50856054
11.0,4.0689824624449615,786271.901311608,26011840.175141275
12.0,4.538484907268377,876996.4456833076,29013234.914318025
13.0,5.05237986561324,976299.2000455059,32298418.28550545
14.0,5.612593066061469,1084552.2835428515,35879700.920306385
15.0,6.220611493609936,1202043.0344795778,39766588.688170634
16.0,6.877363631741774,1328950.868835074,43965017.11823633
17.0,7.583098249422043,1465323.8576071758,48476576.5192894
18.0,8.337268777823903,1611056.3842898787,53297772.83326992
19.0,9.138431747707067,1765869.5193683663,58419378.374503985
20.0,9.98416867996897,1929295.9267998307,63825932.4983554
21.0,10.871040950930684,2100671.142383976,69495453.06791788
22.0,11.794586241735969,2279132.887660833,75399413.75603952
23.0,12.74936308443677,2463629.677796312,81503028.81569651
24.0,13.729046761505279,2652939.352773321,87765866.1381234
25.0,14.726575637319943,2845697.353831094,94142782.70811719
26.0,15.734342348354943,3040433.668198965,100585146.82819226
27.0,16.744419762120092,3235616.4923873544,107042282.60940467
28.0,17.74880789965689,3429699.9463822274,113463048.47619005
29.0,18.739685693593106,3621172.7222411674,119797446.58354343
30.0,19.70965090956135,3808604.4454310513,125998156.56597276
31.0,20.651932885365856,3990686.7835894427,132021895.51809776
32.0,21.560565716062946,4166266.912031939,137830525.11729664
33.0,22.43051364723395,4334371.744185213,143391853.22700733
34.0,23.257745093432703,4494222.234579466,148680107.07547522
35.0,24.03925621702156,4645237.935116832,153676083.98850262
36.0,24.77304883348616,4787032.725593603,158367010.1444504
37.0,25.458070190708423,4919403.176917339,162746155.60036787
38.0,26.09412375714104,5042311.312214266,166812263.98632845
39.0,26.681760600160427,5155863.617269906,170568858.1183317
40.0,27.2221604373381,5260288.055410851,174023479.5931295
41.0,27.717010272886835,5355910.615756527,177186912.94576532
42.0,28.16838697656169,5443132.623293255,180072435.01009914
43.0,28.578648478482855,5522409.7138503585,182695119.3584545
44.0,28.950336638001357,5594233.064915878,185071215.37007955
45.0,29.286093428307222,5659113.199526594,187217612.42333856
46.0,29.588590929330184,5717566.458410492,189151392.36036512
47.0,29.860474758139798,5770104.068731271,190889467.8538023
48.0,30.104319972201118,5817223.623031468,192448300.50893855
49.0,30.322598119514907,5859402.712149505,193843690.224686
50.0,30.517653934795117,5897094.422093642,195090626.21891293
51.0,30.69169014549373,5930724.398026456,196203189.89771026
52.0,30.846758913058363,5960689.190411879,197194500.141801
53.0,30.98475855759801,5987355.622104315,198076692.36826602
54.0,31.10743437015092,6011060.945307642,198860923.7231401
55.0,31.21638248536782,6032113.589915118,199557397.83836693
56.0,31.313055954403058,6050794.337007612,200175403.65405434
57.0,31.39877231407071,6067357.781483334,200723363.8059224
58.0,31.474722088739213,6082033.974925787,201208888.97548237
59.0,31.541977783723105,6095030.163446404,201638835.38221568
60.0,31.601503032740776,6106532.55529821,202019363.26065305
61.0,31.654161648234172,6116708.069718971,202355994.71647787
62.0,31.700726393589395,6125706.0320357075,202653669.8048213
63.0,31.7418873524901,6133659.790920975,202916800.03314316
64.0,31.778259814798613,6140688.242225116,203149318.77341244
65.0,31.81039163244103,6146897.250394475,203354728.28617522
66.0,31.838770024558166,6152380.96346821,203536143.22393706
67.0,31.863827830252397,6157223.021331015,203696330.60318333
68.0,31.885949220972485,6161497.659548721,203837746.3220206
69.0,31.90547489407777,6165270.712949313,203962568.36114568
70.0,31.922706775360176,6168600.524317179,204072726.8457231
71.0,31.93791226204894,6171538.76429228,204169931.16969937
72.0,31.95132803970231,6174131.168929176,204255694.3960995
